series,observations,cumulative_return,mean_daily_return,annualized_arithmetic_return,annualized_geometric_return,annualized_volatility,sharpe_ratio,sortino_ratio,maximum_drawdown,worst_daily_return,positive_day_fraction,tail_return_quantile_5pct,tail_expected_shortfall_5pct
Markowitz sample covariance / Historical Means Sharpe,647,1.036251662693339,0.00124161416123559,0.31288676863136866,0.31912742004243655,0.26627656272726985,1.0248245877759405,1.3982759080148355,-0.24267132724583462,-0.0937109502843554,0.5610510046367851,-0.02616204022548773,-0.04093943674753673
PCA covariance / Historical Means Sharpe,647,1.1068613005226964,0.0012805991508125162,0.32271098600475406,0.33675848543807363,0.2531825318492919,1.1166291131531902,1.5329163421249676,-0.2051044731214442,-0.08923838099359488,0.5579598145285936,-0.02340365587184346,-0.038572976288683315
EWMA covariance (63-day half-life) / Historical Means Sharpe,647,0.9983476568467029,0.0012067323076054993,0.3040965415165858,0.3095085899861627,0.2605582492406596,1.0135796593899358,1.3721448531746017,-0.2478402079573736,-0.11289891777143728,0.5625965996908809,-0.025622717334533484,-0.03993356229854735
EWMA-PCA covariance (63-day half-life) / Historical Means Sharpe,647,1.1003558168870882,0.0012691291928625672,0.31982055660136693,0.33514931263015835,0.24647284503879946,1.135299738830531,1.5526194047079729,-0.19172053387879062,-0.08721591927180762,0.5564142194744977,-0.02297746827017493,-0.03749324569294012
Equal-weight XLE constituents,647,0.5990691628495997,0.0008458081820093712,0.21314366186636155,0.20061632726634282,0.24520286801312852,0.7061241300696824,0.9649345727968709,-0.25954754528560986,-0.1015002626348855,0.5795981452859351,-0.0230727021137614,-0.03524998073113915
XLE baseline,647,0.537617450031318,0.0007616016123013989,0.19192360629995253,0.1824302598734009,0.2197230516313688,0.6914322606206839,0.931450110697998,-0.201372898731773,-0.09199906918608192,0.5641421947449768,-0.022031756688637525,-0.032670704177663226
