strategy,out_of_sample_observations,rebalances,total_turnover_ex_initial,mean_rebalance_turnover_ex_initial,annualized_turnover,mean_max_weight,maximum_weight,mean_effective_number_assets
Markowitz sample covariance / Historical Means Sharpe,647,31,5.747498928571093,0.19158329761903645,2.238593091189977,0.6871478092586656,1.0,2.0026806206042127
PCA covariance / Historical Means Sharpe,647,31,3.438742403487164,0.11462474678290548,1.3393556192871179,0.5479848549552851,0.9302748159780332,2.364411864758298
EWMA covariance (63-day half-life) / Historical Means Sharpe,647,31,6.857293272864906,0.2285764424288302,2.670846838890195,0.6513532839403866,1.0,2.2040643638070403
EWMA-PCA covariance (63-day half-life) / Historical Means Sharpe,647,31,4.3910734381100704,0.14636911460366903,1.7102789898048496,0.4885899920510588,0.767595904429447,2.6411223745777237
