series,observations,cumulative_return,mean_daily_return,annualized_arithmetic_return,annualized_geometric_return,annualized_volatility,sharpe_ratio,sortino_ratio,maximum_drawdown,worst_daily_return,positive_day_fraction,tail_return_quantile_5pct,tail_expected_shortfall_5pct
PCA covariance / Maximum Sharpe,647,1.1068613005226964,0.0012805991508125162,0.32271098600475406,0.33675848543807363,0.2531825318492919,1.1166291131531902,1.5329163421249676,-0.2051044731214442,-0.08923838099359488,0.5579598145285936,-0.02340365587184346,-0.038572976288683315
PCA covariance / Tail-adjusted Sharpe (lambda=1),647,0.9898312462130521,0.0011992221252243444,0.3022039755565348,0.30733210304137604,0.2598526278584658,1.0090487739818037,1.3677613145578869,-0.22409827509911684,-0.09060143250747305,0.5595054095826894,-0.025300562453993106,-0.04033190768759769
PCA covariance / Tail-adjusted Sharpe (lambda=0.1),647,1.0796002714807686,0.0012620537839200918,0.3180375535478631,0.3299948615004411,0.25474038222613704,1.0914545668736761,1.4952576225077465,-0.20632394317566405,-0.08933941193432629,0.5595054095826894,-0.023442234898703722,-0.03887317914508624
PCA covariance / Tail-adjusted Sharpe (lambda=0.01),647,1.1003672736874242,0.001275963827682315,0.3215428845759434,0.335152149215433,0.2533181010533914,1.1114203185843523,1.5251351280701653,-0.20526016356148613,-0.08924303321053413,0.5595054095826894,-0.023364272198493033,-0.038608027506945454
Equal-weight XLE constituents,647,0.5990691628495997,0.0008458081820093712,0.21314366186636155,0.20061632726634282,0.24520286801312852,0.7061241300696824,0.9649345727968709,-0.25954754528560986,-0.1015002626348855,0.5795981452859351,-0.0230727021137614,-0.03524998073113915
XLE baseline,647,0.537617450031318,0.0007616016123013989,0.19192360629995253,0.1824302598734009,0.2197230516313688,0.6914322606206839,0.931450110697998,-0.201372898731773,-0.09199906918608192,0.5641421947449768,-0.022031756688637525,-0.032670704177663226
