strategy,out_of_sample_observations,rebalances,total_turnover_ex_initial,mean_rebalance_turnover_ex_initial,annualized_turnover,mean_max_weight,maximum_weight,mean_effective_number_assets
PCA covariance / Maximum Sharpe,647,31,3.438742403487164,0.11462474678290548,1.3393556192871179,0.5479848549552851,0.9302748159780332,2.364411864758298
PCA covariance / Tail-adjusted Sharpe (lambda=1),647,31,5.702087109972045,0.19006957033240152,2.220905644069483,0.6215252046593148,1.0,2.250868338863278
PCA covariance / Tail-adjusted Sharpe (lambda=0.1),647,31,3.946827328603996,0.13156091095346653,1.5372495932120664,0.5679860207454456,0.9741590338182589,2.3158466987963195
PCA covariance / Tail-adjusted Sharpe (lambda=0.01),647,31,3.4935418897784127,0.11645139632594709,1.360699468661762,0.5499600378862741,0.9353595340633022,2.359617291960451
