strategy,out_of_sample_observations,rebalances,total_turnover_ex_initial,mean_rebalance_turnover_ex_initial,annualized_turnover,mean_max_weight,maximum_weight,mean_effective_number_assets
PCA covariance (1 component) / Historical Means Sharpe,753,36,8.914292298388107,0.2546940656682316,2.983269135715542,0.7346538392694015,1.0,1.7633936777441843
PCA covariance (2 components) / Historical Means Sharpe,753,36,8.92790220696224,0.25508292019892115,2.987823846154694,0.7363930601995962,1.0,1.7477396157607061
PCA covariance (3 components) / Historical Means Sharpe,753,36,8.75255036965905,0.2500728677045443,2.929140362754423,0.719523317041376,1.0,1.8151227399638765
PCA covariance (4 components) / Historical Means Sharpe,753,36,8.961073962058709,0.2560306846302488,2.9989251506491295,0.7200414567647753,1.0,1.8289345361799945
PCA covariance (5 components) / Historical Means Sharpe,753,36,8.989347351883652,0.2568384957681043,3.0083871615865605,0.7214459322404625,1.0,1.828890877825344
