series,observations,cumulative_return,mean_daily_return,annualized_arithmetic_return,annualized_geometric_return,annualized_volatility,sharpe_ratio,sortino_ratio,maximum_drawdown,worst_daily_return,positive_day_fraction,tail_return_quantile_5pct,tail_expected_shortfall_5pct
PCA covariance (1 component) / Historical Means Sharpe,753,2.0019796653033333,0.0017507560845373053,0.44119053330340097,0.44467422021921,0.38184431037112504,1.0506652119903863,1.528118551595032,-0.32849976904027867,-0.10577304378459135,0.5325365205843293,-0.036713775361970936,-0.0529895959055463
PCA covariance (2 components) / Historical Means Sharpe,753,1.9735835016513574,0.0017374752446936053,0.43784376166278854,0.4400864771390245,0.38142587614074036,1.0430434497212513,1.5166171052855781,-0.3288165634948297,-0.1057387194119406,0.5312084993359893,-0.036928899389247066,-0.05289895109783522
PCA covariance (3 components) / Historical Means Sharpe,753,1.8669547327790665,0.0016896487940229429,0.4257914960937816,0.42259434019414965,0.38188727412323764,1.0102234932533627,1.4655903610399255,-0.32859357350153695,-0.10579836290331167,0.5298804780876494,-0.0373106249183623,-0.05312356532724817
PCA covariance (4 components) / Historical Means Sharpe,753,1.875720048638848,0.001693438196524086,0.4267464255240697,0.4240484331927816,0.3817046564173569,1.0132085606553358,1.4702408236656441,-0.3287269154075567,-0.10577838480719104,0.5298804780876494,-0.03709951444646316,-0.053039381869385525
PCA covariance (5 components) / Historical Means Sharpe,753,1.8864748847819102,0.0016983044421613955,0.42797271942467163,0.42582854785624713,0.381663996301685,1.0165295212126844,1.475942148037785,-0.32852201585596275,-0.10580483724540045,0.5285524568393094,-0.03717553246487757,-0.05299003047570798
Equal-weight XLE constituents,753,1.7006977315821286,0.0015293832215725145,0.38540457183627364,0.39443519550129014,0.324642485433293,1.0639536947090271,1.5658459142642311,-0.28638418643269337,-0.08730034775375169,0.5351925630810093,-0.0324258757869958,-0.04301150877493396
XLE baseline,753,1.5028950908230834,0.00139418282867681,0.3513340728265561,0.3593877618804502,0.29696650008493825,1.0483811229128819,1.5326118867087246,-0.260437310884433,-0.08273029949661637,0.5418326693227091,-0.02910143721674456,-0.039479564766864456
