series,observations,cumulative_return,mean_daily_return,annualized_arithmetic_return,annualized_geometric_return,annualized_volatility,sharpe_ratio,sortino_ratio,maximum_drawdown,worst_daily_return,positive_day_fraction,tail_return_quantile_5pct,tail_expected_shortfall_5pct
PCA factor / Historical Means Sharpe,647,1.1103258452516207,0.0012833430064879193,0.3234024376349557,0.3376142249273473,0.2533720291650655,1.1185229820704716,1.5348507177021922,-0.20409988386998779,-0.08917099036568923,0.5610510046367851,-0.02346401699126182,-0.038607444872100966
PCA + U.S. commodity factors / Historical Means Sharpe,647,1.1144117362529142,0.0012872754240009024,0.3243934068482274,0.33862233490478233,0.25429381479642615,1.1183654115846167,1.5345394212550876,-0.20432573922530373,-0.08933426432562841,0.5579598145285936,-0.023435504896005276,-0.038741520102039316
U.S. commodity factors only / Historical Means Sharpe,647,0.8801867504802854,0.0010863244689888229,0.2737537661851834,0.2787879346963509,0.23453227035796928,0.9966806095741207,1.3566199833167005,-0.19399284546560047,-0.09419148340133071,0.5564142194744977,-0.02136772807711998,-0.035467801865397615
Markowitz / Historical Means Sharpe,647,1.014695637226911,0.001226276025929033,0.3090215585341163,0.313670728607917,0.2672725968442029,1.0065437374072916,1.3699057559453447,-0.24439316031289537,-0.09504826906685307,0.5610510046367851,-0.026133290573491175,-0.041197555683394844
Equal-weight XLE constituents,647,0.5990691628495997,0.0008458081820093712,0.21314366186636155,0.20061632726634282,0.24520286801312852,0.7061241300696824,0.9649345727968709,-0.25954754528560986,-0.1015002626348855,0.5795981452859351,-0.0230727021137614,-0.03524998073113915
XLE baseline,647,0.537617450031318,0.0007616016123013989,0.19192360629995253,0.1824302598734009,0.2197230516313688,0.6914322606206839,0.931450110697998,-0.201372898731773,-0.09199906918608192,0.5641421947449768,-0.022031756688637525,-0.032670704177663226
