strategy,out_of_sample_observations,rebalances,total_turnover_ex_initial,mean_rebalance_turnover_ex_initial,annualized_turnover,mean_max_weight,maximum_weight,mean_effective_number_assets
PCA factor / Historical Means Sharpe,647,31,3.5213184180919272,0.11737728060306424,1.371518147386655,0.552410871764503,0.9371368931627196,2.3484447154996366
PCA + U.S. commodity factors / Historical Means Sharpe,647,31,3.5635154751198352,0.11878384917066118,1.387953477171868,0.5569336042719967,0.9447577839813919,2.3290556146710735
U.S. commodity factors only / Historical Means Sharpe,647,31,3.4606148105684813,0.11535382701894938,1.3478747021070436,0.35462729118570363,0.5003329205045823,3.8578426646416926
Markowitz / Historical Means Sharpe,647,31,5.868925454511083,0.19563084848370277,2.285887503148057,0.6930163112097326,1.0,1.9832394882753253
